start	end	text
577360	587780	Okay, we are at, okay, I talked about these last two at the same time pretty much.
588820	606300	Autographia californica, this is, it's somewhat of a pest species and feeds on an array of plants.
606300	611460	You get a lot of them early and a lot of them late and then sporadically in the middle of the year.
613680	617560	And it seems to have very good years once in a while.
617760	622160	I think the year before, last year was pretty good for it.
622680	623920	Yep, it looks like it was.
625200	627220	Oh, well, we don't have the data from last year, right?
628180	630520	Bactra veritana feeds on sedges.
631240	633480	So that's a weird host plant.
633480	643400	And one year, I guess it was last year or maybe the year before, it really showed extreme numbers.
643580	645300	And then it's down again this year.
645960	651160	But it has shown up somewhat consistently all along.
651160	662560	The gissara buxia seemed to be, my recollection was it was somewhat abundant in the early years
662560	665580	and much less so in recent years.
665840	669440	I haven't been getting it anywhere near the numbers that I used to get it.
669440	674140	Okay, so true decline on that one, probably.
674940	679240	Bedelia somnula telefeeds on plants in the Morning Glory family.
679240	688460	And I've kind of given up trying to keep Morning Glory out of my yard, so that may account for.
689240	694460	But also, it's common in the cold months.
694460	703080	So, because I didn't collect in the cold months as often, partly because I didn't and partly because I couldn't,
703140	709860	because there was more rain in the past, that could explain some of this recent abundance.
709860	724140	Blastobasis glandulella, some of these may have been recorded as blastobasine species unidentified.
725200	731320	These I separated out because they're bigger and considerably bigger than all the other blastobases.
732100	733880	And there seems to be two forms.
733880	743280	So, this could, might be two different species, but the pictures online show two different, the same two different phenotypes.
747860	749180	Borchocenia nephrax.
749220	751600	I only think I have a couple of records for this one.
751660	752920	I'm surprised this is here.
755460	759040	Oh, that's when I get more common earlier in the year, though.
759040	771100	So, that may be why you saw a big spike last year, if that is last year or the year before last.
772240	773760	Yeah, I think it goes up to 2023.
776740	782120	Bucoletrics Albertiola feeds on live oaks, I think.
782200	785260	And it may also feed on other oaks, but certainly live oaks.
785260	804340	Bucoletrics is a tiny moth, and they tend to show up in big numbers during a, when the weather's kind of extreme, either real hot or kind of cold.
806620	812660	It looks like he's been recording this.
812660	814880	You're looking, I think you're looking at the other.
815120	815900	I am, yeah.
816040	821020	So, you've been recording this since at least the 90s.
821640	836160	I called it, I called it species two at, I didn't give it the same number of Bucoletrics at Cold Canyon as I did at, this is Cold Canyon, as I did here.
836160	843720	So, Bucoletrics Albertiola is a Bucoletrics species.
846920	848140	It's a different species?
848500	848600	Yeah.
848600	849480	It's like a similar species?
849520	853020	I think this one is Cianothiela, but I'm not sure.
854600	856220	And you have it here, a species.
857180	859080	Oh, so these should be binned?
859080	871240	Yeah, and this is maybe Albertiola, because Bucoletrics species one at Cold Canyon is not the same as, you know, that was something I told you I would resolve, and I haven't done that yet.
871240	877000	But I started on, and I get so far, and I thought, well, this is going to be quick, but it isn't.
877080	877640	It's a lot of work.
877740	877880	Yeah.
880940	882800	So, that needs to be resolved.
883080	888320	So, Bucoletrics is kind of a mess.
888320	901020	But I'll tell you, I'll be able to tell you which is which, but for now, we'll assume that the names I'm using at Davis are correct.
902380	909380	And there's only two, Albertiola and Cianothiela, but I don't think you have enough records to include it here.
909380	929000	Cianothiela is another pantry moth, and I think in the early years, I probably failed to differentiate it from the Festiotes gilvacentella.
929640	934560	So, it's probably underrepresented in the early years.
934560	947620	It's a confoundingly variable species, and in the middle of the year, it's fairly uniform in phenotype.
948040	954540	But late in the year, it's all over the place, different colors, different banding patterns, and everything else.
954800	960480	I've set aside a bunch of them to dissect this year, and I'm hoping to get things straightened out.
960480	963080	Well, we'll dump that one, too, because it's not an outdoor dwelling.
963080	969760	And I'll keep sending you corrections and additions, which I hope will clarify things a bit.
970080	981400	But I would say with, there's a very high probability that many of them were recorded as gilvacentella during the earliest years.
981600	984180	And how many of the earliest years, I can't tell you.
984900	985240	Gotcha.
986840	990060	I think that's called a raisin moth or something like that.
990700	992180	I need to...
992180	1022160	Thank you.
